title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T2 Bab 9,radio,F3 Bab 9,A,B,C,D,A,Galus/Picture61.png
,radio,F3 Bab 9,A,B,C,D,C,Galus/Picture62.png
,radio,F3 Bab 9,A,B,C,D,C,Galus/Picture63.png
,radio,F3 Bab 9,A,B,C,D,D,Galus/Picture64.png
,radio,F3 Bab 9,A,B,C,D,A,Galus/Picture65.png
,radio,F3 Bab 9,A,B,C,D,C,Galus/Picture66.png
,radio,F3 Bab 9,A,B,C,D,D,Galus/Picture67.png
,radio,F3 Bab 9,A,B,C,D,A,Galus/Picture68.png
,radio,F3 Bab 9,A,B,C,D,C,Galus/Picture69.png
,radio,F3 Bab 9,A,B,C,D,A,Galus/Picture70.png
