title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T2 Bab 7,radio,F2 Bab 7,A,B,C,D,D,Galus/Picture41.png
,radio,F2 Bab 7,A,B,C,D,B,Galus/Picture42.png
,radio,F2 Bab 7,A,B,C,D,D,Galus/Picture43.png
,radio,F2 Bab 7,A,B,C,D,C,Galus/Picture44.png
,radio,F2 Bab 7,A,B,C,D,A,Galus/Picture45.png
,radio,F2 Bab 7,A,B,C,D,C,Galus/Picture46.png
,radio,F2 Bab 7,A,B,C,D,C,Galus/Picture47.png
,radio,F2 Bab 7,A,B,C,D,C,Galus/Picture48.png
,radio,F2 Bab 7,A,B,C,D,D,Galus/Picture49.png
,radio,F2 Bab 7,A,B,C,D,A,Galus/Picture50.png
