title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T2 Bab 6,radio,F2 Bab 6,A,B,C,D,B,Galus/Picture31.png
,radio,F2 Bab 6,A,B,C,D,C,Galus/Picture32.png
,radio,F2 Bab 6,A,B,C,D,B,Galus/Picture33.png
,radio,F2 Bab 6,A,B,C,D,B,Galus/Picture34.png
,radio,F2 Bab 6,A,B,C,D,C,Galus/Picture35.png
,radio,F2 Bab 6,A,B,C,D,C,Galus/Picture36.png
,radio,F2 Bab 6,A,B,C,D,D,Galus/Picture37.png
,radio,F2 Bab 6,A,B,C,D,A,Galus/Picture38.png
,radio,F2 Bab 6,A,B,C,D,B,Galus/Picture39.png
,radio,F2 Bab 6,A,B,C,D,D,Galus/Picture40.png
