title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T2 Bab 5,radio,F2 Bab 5,A,B,C,D,D,Galus/Picture21.png
,radio,F2 Bab 5,A,B,C,D,D,Galus/Picture22.png
,radio,F2 Bab 5,A,B,C,D,C,Galus/Picture23.png
,radio,F2 Bab 5,A,B,C,D,B,Galus/Picture24.png
,radio,F2 Bab 5,A,B,C,D,B,Galus/Picture25.png
,radio,F2 Bab 5,A,B,C,D,C,Galus/Picture26.png
,radio,F2 Bab 5,A,B,C,D,B,Galus/Picture27.png
,radio,F2 Bab 5,A,B,C,D,C,Galus/Picture28.png
,radio,F2 Bab 5,A,B,C,D,B,Galus/Picture29.png
,radio,F2 Bab 5,A,B,C,D,D,Galus/Picture30.png
