title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T2 Bab 8,radio,F3 Bab 8,A,B,C,D,C,Galus/Picture51.png
,radio,F3 Bab 8,A,B,C,D,B,Galus/Picture52.png
,radio,F3 Bab 8,A,B,C,D,C,Galus/Picture53.png
,radio,F3 Bab 8,A,B,C,D,A,Galus/Picture54.png
,radio,F3 Bab 8,A,B,C,D,D,Galus/Picture55.png
,radio,F3 Bab 8,A,B,C,D,B,Galus/Picture56.png
,radio,F3 Bab 8,A,B,C,D,B,Galus/Picture57.png
,radio,F3 Bab 8,A,B,C,D,C,Galus/Picture58.png
,radio,F3 Bab 8,A,B,C,D,B,Galus/Picture59.png
,radio,F3 Bab 8,A,B,C,D,A,Galus/Picture60.png
